F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
4.678446572009602e-06,-1.9073941429833292e-05,-7.084606879369203e-06,-9.098591069103057e-06,-8.275500006587494e-06,-1.0087873562783005e-05,-8.836459535023433e-07,-2.6903858602478135e-06,-6.757682544276562e-07,2.811455782414474e-07,4.082939049715146e-06,-1.0846885695867778e-05,-1.652666688824339e-05
4.774373789750469e-06,-1.8456450340962534e-05,-6.063577598370956e-06,-9.050148622562797e-06,-9.177463382116493e-06,-9.498803383102896e-06,-8.543694882685451e-07,-3.726872493242822e-06,-9.343706052301985e-07,5.955872007124975e-08,3.4857988917924587e-06,-1.1575688018851786e-05,-1.1399988535570723e-05
4.693625441681747e-06,-1.808751714241829e-05,-5.910806396584475e-06,-9.184473370634783e-06,-9.41721054114425e-06,-8.67582900337365e-06,-6.551545661382159e-07,-4.602757171877523e-06,-9.717353381141998e-07,-3.747986863335144e-09,2.9771824608752887e-06,-1.1794160266794011e-05,-8.318750518613475e-06
4.643513813405787e-06,-1.7842146798210045e-05,-5.972907553799214e-06,-8.911694329478158e-06,-9.682812403348103e-06,-8.611887616134843e-06,-5.113365094144042e-07,-4.41759893085462e-06,-1.0561258848392024e-06,1.6043296940440553e-08,2.933444186251301e-06,-1.190687443265918e-05,-5.0276179045258005e-06
4.801559756907944e-06,-1.675573449170551e-05,-5.947216269301011e-06,-9.361147617738922e-06,-1.047877665406159e-05,-7.936316194041229e-06,-3.8073712215179306e-07,-5.124630544951416e-06,-8.49898082342939e-07,4.041848515416262e-08,2.5616303579809998e-06,-1.247114609569576e-05,-1.7600659471855597e-07
4.96835292022644e-06,-1.634989054047787e-05,-6.1576547777573975e-06,-9.45108730062162e-06,-1.0662590365607971e-05,-7.616638097535542e-06,-3.5784558604467545e-07,-4.995943888458209e-06,-7.081686699392214e-07,-5.865100164852991e-08,2.522741159149224e-06,-1.2499131678767836e-05,2.2651734274835844e-06
5.058200679770915e-06,-1.6145175107040395e-05,-6.4303878867511545e-06,-9.619135778236843e-06,-1.094925162874862e-05,-7.379987295679594e-06,-4.3387629296472104e-07,-5.310095549073767e-06,-4.2595395602436144e-07,-2.4390137318751675e-07,2.6328973978005812e-06,-1.2697221197180717e-05,6.655886920650774e-06
4.9939221315366e-06,-1.625273271646467e-05,-6.248845003762833e-06,-9.142370808930255e-06,-1.1504108134985512e-05,-6.4508792108149805e-06,-5.227569474195524e-07,-6.578086288510601e-06,-2.6740977998369105e-07,-2.189381468506984e-07,2.391340315616806e-06,-1.272925157231103e-05,1.0992115096215833e-05
5.228887820781466e-06,-1.601284350446217e-05,-6.264202034413219e-06,-8.823676518231041e-06,-1.1679055908685689e-05,-6.099195300380083e-06,-4.554551793301069e-07,-6.384110375699765e-06,-3.3355125261823e-07,-2.7849979483532023e-07,2.2988163967795173e-06,-1.2730038510099017e-05,1.3918256427862442e-05
5.321575327071066e-06,-1.5836799749701934e-05,-6.144559785737724e-06,-8.611883499026901e-06,-1.205881450038233e-05,-5.62647638265354e-06,-4.0136291576637913e-07,-5.839428864032795e-06,-4.2727600648254923e-07,-2.4631214180907176e-07,2.3553003867097463e-06,-1.2639479163816134e-05,1.6770849562297644e-05
5.277919246568902e-06,-1.5242060566731219e-05,-6.1981356636824115e-06,-9.102758809978175e-06,-1.2214068150757946e-05,-5.503303875709798e-06,-4.6487794321796944e-07,-4.630033300263514e-06,-4.1072767971587775e-07,-2.2811873480769914e-07,2.4865279479370333e-06,-1.2723094023900312e-05,2.2074730487593323e-05
5.2446782141943194e-06,-1.5370662457782857e-05,-6.378088122779601e-06,-9.380572412233212e-06,-1.3088812148376476e-05,-5.149932268704247e-06,-4.4610583514652e-07,-4.144219004819456e-06,-5.291685854671913e-07,-1.8612020990668518e-07,2.5884577108220497e-06,-1.2709592822173319e-05,2.774213687570534e-05
5.329637185119949e-06,-1.5075485796044925e-05,-6.478616295624314e-06,-9.297999274310783e-06,-1.3436902372988772e-05,-4.648847618543702e-06,-4.1771845308452156e-07,-4.066655919083949e-06,-8.081409011928093e-07,-1.7649861889147278e-07,2.562437936793818e-06,-1.277482565061016e-05,3.097161471179468e-05
5.278462609819034e-06,-1.4626832647240534e-05,-6.438560432150512e-06,-9.62926385972351e-06,-1.4511345511133058e-05,-4.308584407100327e-06,-6.489930332078017e-07,-3.6597934209601702e-06,-1.2464541715075982e-06,-3.379368168334243e-07,2.594418457960059e-06,-1.2820894690662356e-05,3.867444352274111e-05
4.756681321106347e-06,-1.4486124446630511e-05,-6.62458613319609e-06,-9.904991493808116e-06,-1.548961780979467e-05,-4.199344149777634e-06,-1.0434746413833278e-06,-3.7672457710553154e-08,-1.9610884282147293e-06,-6.386625823668228e-07,2.521793169238312e-06,-1.2984614207680406e-05,4.518036746021761e-05
4.756643442903656e-06,-1.4142098784781202e-05,-6.415975949138851e-06,-9.783990724296891e-06,-1.6733790525742578e-05,-3.758395762656608e-06,-7.754828750246416e-07,-7.982790606683543e-07,-2.1213521265365195e-06,-5.494963013774072e-07,2.58343932303621e-06,-1.2932978084570737e-05,5.106375636218685e-05
4.912389968884947e-06,-1.3327099522982025e-05,-6.636428645739877e-06,-1.0035367358931208e-05,-1.758527723102876e-05,-3.5546588601475018e-06,-4.023429576053656e-07,-1.3078231610059517e-06,-2.2539205889399337e-06,-6.528687198835241e-07,2.7059392564326923e-06,-1.3008088303496668e-05,5.704421172444237e-05
4.825344970397083e-06,-1.309178244212718e-05,-6.480887961424324e-06,-9.864922989222265e-06,-1.776272905357818e-05,-3.7720501782285703e-06,-5.058791610077299e-07,-2.4594139329370965e-06,-1.9694053932310347e-06,-6.947490632348281e-07,2.562287230912732e-06,-1.2767346084468331e-05,6.282686632481635e-05
4.851434825940378e-06,-1.2066390772312569e-05,-6.543799219926526e-06,-9.466410134222627e-06,-1.8597436744841384e-05,-4.236809080018784e-06,-6.68342782962809e-07,-2.966462563651106e-06,-2.6890545358469408e-06,-8.391218518883363e-07,2.4976120245922954e-06,-1.3087368948726151e-05,7.133414871719584e-05
4.835161673698498e-06,-1.2024054581835959e-05,-6.356973237633106e-06,-9.03269307422877e-06,-1.7981188478266763e-05,-4.250825100043468e-06,-5.442841303626679e-07,-2.510221631165381e-06,-2.0177556813347826e-06,-8.537696524734804e-07,2.570702988531936e-06,-1.3062095632102517e-05,7.513332880388135e-05
4.853719595117102e-06,-1.1790796202189546e-05,-6.371538115423712e-06,-8.991450056359678e-06,-1.781243374981711e-05,-4.49526701645221e-06,-4.970797686010514e-07,-2.2408631943617505e-06,-2.069200420228529e-06,-8.315839785497501e-07,2.675009605026273e-06,-1.3011040579371692e-05,7.88278561478766e-05
4.9933404680047925e-06,-1.2167406333586758e-05,-6.35783353162606e-06,-8.92911624726292e-06,-1.7295892171545097e-05,-5.170987141532585e-06,-4.468727735315042e-07,-1.8877800385116254e-06,-2.0356796089189113e-06,-8.676620936178267e-07,2.566258291276746e-06,-1.3237324190672946e-05,8.504895430485685e-05
